IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.27.76.216,4,4,0.00,178.02,4.67,FRA
104.19.255.192,4,4,0.00,168.85,4.48,LAX
104.25.32.157,4,4,0.00,177.99,3.55,FRA
104.18.122.87,4,4,0.00,174.35,3.20,LAX
104.24.48.98,4,4,0.00,172.57,3.12,FRA
104.19.242.33,4,4,0.00,164.70,2.59,LAX
104.19.252.90,4,4,0.00,167.49,2.43,LAX
104.19.254.129,4,4,0.00,164.58,2.38,LAX
104.18.126.70,4,4,0.00,172.64,2.35,LAX
104.25.255.186,4,4,0.00,177.98,2.17,FRA
104.16.145.0,4,4,0.00,50.84,132.15,HKG
104.17.171.181,4,4,0.00,56.59,118.81,HKG
104.17.49.151,4,4,0.00,63.68,114.41,HKG
104.18.148.95,4,4,0.00,63.29,105.73,HKG
104.17.176.141,4,4,0.00,60.42,105.28,HKG
104.25.243.176,4,4,0.00,53.39,94.79,HKG
104.17.170.244,4,4,0.00,68.10,7.19,HKG
104.17.28.208,4,4,0.00,67.20,6.94,HKG
104.18.91.95,4,4,0.00,68.03,6.74,HKG
104.19.34.109,4,4,0.00,65.57,5.24,HKG
